gene_id,01B_13_1.fq.gz,01B_33_1.fq.gz,043_14_1.fq.gz,043_33_1.fq.gz,043_3_1.fq.gz,250_14_1.fq.gz,250_34_1.fq.gz,250_4_1.fq.gz
ENSG00000221978.13|CCNL2,3613,3983,8403,3318,3700,2874,2896,3667
ENSG00000224870.8|MRPL20-AS1,3019,2635,2767,2642,3700,2983,2680,3586
ENSG00000235098.9|ANKRD65,31,43,68,230,102,49,34,134
ENSG00000225905.1|ENSG00000225905,0,0,2,0,0,0,0,0
ENSG00000179403.12|VWA1,4995,4390,3979,5103,6279,5740,4551,6309
ENSG00000215915.10|ATAD3C,89,161,155,117,165,182,137,223
ENSG00000160072.20|ATAD3B,1093,1133,2782,964,1542,1465,1153,1536
ENSG00000284740.2|ENSG00000284740,74,13,17,62,95,69,14,0
ENSG00000197785.14|ATAD3A,4785,4870,5135,4657,8994,4985,4043,7825
ENSG00000205090.9|TMEM240,2279,2356,2012,2387,1877,2463,2460,1885
ENSG00000274481.1|ENSG00000274481,0,0,0,0,0,0,0,0
ENSG00000197530.13|MIB2,6684,6454,8706,8513,8670,7922,6592,8861
ENSG00000189409.14|MMP23B,39,57,95,38,71,43,44,112
ENSG00000248333.9|CDK11B,7940,9476,8202,9443,9589,9382,10391,9014
ENSG00000269737.2|ENSG00000269737,14,13,22,18,22,4,10,5
ENSG00000008130.15|NADK,8360,7322,11997,9415,12728,9948,9460,10806
ENSG00000231050.2|ENSG00000231050,103,66,126,123,307,94,57,147
ENSG00000169885.10|CALML6,0,3,0,0,0,6,0,0
ENSG00000178821.13|TMEM52,349,388,360,421,503,306,369,518
ENSG00000142609.20|CFAP74,14,0,56,12,520,26,27,133
ENSG00000227232.5|WASH7P,937,1206,1855,1766,1373,1539,1605,1051
ENSG00000278267.1|MIR6859-1,10,5,37,8,6,5,4,7
ENSG00000243485.5|MIR1302-2HG,7,8,25,22,19,49,54,25
ENSG00000284332.1|MIR1302-2,1,1,1,1,1,1,1,1
ENSG00000239945.1|ENSG00000239945,15,9,11,3,0,1,0,0
ENSG00000233750.3|CICP27,1,0,4,2,0,0,3,0
ENSG00000268903.1|ENSG00000268903,133,141,519,232,163,23,51,30
ENSG00000269981.1|ENSG00000269981,71,73,300,97,76,10,19,9
ENSG00000239906.1|ENSG00000239906,4,10,35,16,2,3,3,0
ENSG00000279457.4|WASH9P,2182,2424,2896,2426,2437,2115,2045,1872
ENSG00000273874.1|MIR6859-2,9,7,20,5,6,3,3,3
ENSG00000286448.1|ENSG00000286448,1,1,0,0,0,0,1,0
ENSG00000236679.2|RPL23AP24,23,27,17,17,8,7,20,7
ENSG00000284733.2|OR4F29,2,0,3,0,2,2,1,0
ENSG00000250575.1|ENSG00000250575,90,149,861,294,314,20,43,19
ENSG00000225972.1|MTND1P23,19046,9959,626,595,1401,18706,13454,27266
ENSG00000225630.1|MTND2P28,57640,35502,60288,49235,76345,56499,43463,73846
