gene,variance_2d_tpm,present_in_v3_candidate_features,selected_top_250
NASP,14159.518587877672,True,True
ZNF471,14075.640681646604,False,False
MAGED4B,14017.440229255126,False,False
DDAH2,13954.988851341663,False,False
IGFBP7,13929.246652971655,True,True
RPS26,13917.418449752606,False,False
CLIC1,13908.532163559319,False,False
CENPV,13767.662826871248,False,False
PON2,13710.11648612427,False,False
HDGF,13704.141853989893,False,False
LPPR3,13683.450946256915,False,False
GLIPR1L2,13507.565058995686,False,False
TFAP2B,13507.410920310325,False,False
PFN2,13489.62463096057,True,True
H2AFY,13462.888178445099,False,False
TRIB2,13458.93862702331,True,True
CHL1,13441.898671212759,False,False
BSG,13424.68127503012,False,False
SCG2,13321.757210995893,True,True
EIF3L,13226.157343788234,True,True
CTXN1,13189.217974165702,True,True
AUTS2,13140.343839061421,False,False
KIF5C,13083.39512349838,False,False
PPP1R14B,13056.203065667734,False,False
CPLX2,12918.124760433846,False,False
GUK1,12909.543919138272,True,True
FSTL1,12907.751692828486,False,False
FLNA,12891.54034805535,False,False
TUBB4A,12695.985530103171,True,True
RPL15,12652.177050573744,True,True
SOD1,12614.810090791425,False,False
CIRBP,12568.986490307168,False,False
APEX1,12517.009886769953,True,True
PFDN5,12478.305307916038,False,False
TPM4,12415.852883143256,False,False
DYNLRB1,12390.96276126902,False,False
JUND,12352.374509785242,True,True
SMOC1,12310.94939410055,True,True
TRIM28,12292.989207774503,False,False
SUMO2,12176.057484546911,False,False
TMPO,12167.015963081496,True,True
XRCC6,12064.111302836556,False,False
SPOCK2,12016.048316780129,True,True
DPYSL5,12007.740889429884,False,False
L1CAM,11945.463331111461,False,False
IDS,11851.104435308978,False,False
GNAO1,11785.759439840453,True,True
DDIT4,11689.465714264661,True,True
EIF4A2,11681.072564251794,True,True
METTL21A,11679.99291064849,False,False
HS6ST1,11677.703652131804,False,False
TFAP2A,11666.834453294498,False,False
ELN,11663.3990312413,True,True
HLA-B,11657.72158422992,True,True
HNRNPAB,11538.374777923407,False,False
EWSR1,11536.761941184452,False,False
RPL36AL,11470.771461119884,False,False
EEF1D,11372.672417274915,False,False
CRIP2,11368.523460858454,False,False
EIF3E,11365.3872293411,False,False
ZNF428,11357.072105122761,False,False
DPYSL2,11318.912774598497,False,False
CRYAB,11268.808265527365,True,True
HMGCR,11267.515855921676,False,False
COX6B1,11228.587553910938,True,True
TKTL1,11006.850761388332,False,False
NHLH1,11000.33024871858,True,True
HNRNPL,10982.96277325625,False,False
UBE2C,10934.885509010892,False,False
ENC1,10847.920800826401,True,True
SNRPN,10843.132226868911,False,False
VGLL3,10832.481055419283,False,False
ILF2,10819.384246535892,False,False
DHCR24,10760.24968896843,True,True
BAG3,10741.169089752722,False,False
ANP32B,10702.008981355346,False,False
FBLN5,10659.98342939023,False,False
RGMA,10658.2465312027,False,False
