casn,chemical,dsstox_substance_id,pubchem_query,match_status,source_url,error,CID,MolecularFormula,MolecularWeight,SMILES,ConnectivitySMILES,XLogP,TPSA,Complexity,Charge,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
51-63-8,Dextroamphetamine sulfate,DTXSID2057865,51-63-8,not_found,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/51-63-8/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",HTTP 404,,,,,,,,,,,,
51481-60-8,Naloxone hydrochloride dihydrate,DTXSID90199452,51481-60-8,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/51481-60-8/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,20112022.0,C19H26ClNO6,399.9,C=CCN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O.O.O.Cl,C=CCN1CCC23C4C(=O)CCC2(C1CC5=C3C(=C(C=C5)O)O4)O.O.O.Cl,,72.0,594.0,0.0,5.0,7.0,2.0
52-68-6,Trichlorfon,DTXSID0021389,52-68-6,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/52-68-6/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,5853.0,C4H8Cl3O4P,257.43,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,COP(=O)(C(C(Cl)(Cl)Cl)O)OC,0.5,55.8,183.0,0.0,1.0,4.0,3.0
52-86-8,Haloperidol,DTXSID4034150,52-86-8,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/52-86-8/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,3559.0,C21H23ClFNO2,375.9,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,3.2,40.5,451.0,0.0,1.0,4.0,6.0
52645-53-1,Permethrin,DTXSID8022292,52645-53-1,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/52645-53-1/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,40326.0,C21H20Cl2O3,391.3,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,CC1(C(C1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,6.5,35.5,521.0,0.0,0.0,3.0,7.0
52918-63-5,Deltamethrin,DTXSID8020381,52918-63-5,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/52918-63-5/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,40585.0,C22H19Br2NO3,505.2,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C,6.2,59.3,643.0,0.0,0.0,4.0,7.0
532-32-1,Sodium benzoate,DTXSID1020140,532-32-1,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/532-32-1/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,517055.0,C7H5NaO2,144.10,C1=CC=C(C=C1)C(=O)[O-].[Na+],C1=CC=C(C=C1)C(=O)[O-].[Na+],,40.1,108.0,0.0,0.0,2.0,1.0
54-11-5,Nicotine,DTXSID1020930,54-11-5,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/54-11-5/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,89594.0,C10H14N2,162.23,CN1CCC[C@H]1C2=CN=CC=C2,CN1CCCC1C2=CN=CC=C2,1.2,16.1,147.0,0.0,0.0,2.0,1.0
54-85-3,Isoniazid,DTXSID8020755,54-85-3,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/54-85-3/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,3767.0,C6H7N3O,137.14,C1=CN=CC=C1C(=O)NN,C1=CN=CC=C1C(=O)NN,-0.7,68.0,120.0,0.0,2.0,3.0,1.0
5436-43-1,"2,2',4,4'-Tetrabromodiphenyl ether",DTXSID3030056,5436-43-1,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/5436-43-1/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,95170.0,C12H6Br4O,485.79,C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br,C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br,6.2,9.2,227.0,0.0,0.0,1.0,2.0
54593-83-8,Chlorethoxyfos,DTXSID2032344,54593-83-8,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/54593-83-8/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,91655.0,C6H11Cl4O3PS,336.0,CCOP(=S)(OCC)OC(C(Cl)(Cl)Cl)Cl,CCOP(=S)(OCC)OC(C(Cl)(Cl)Cl)Cl,4.6,59.8,225.0,0.0,0.0,4.0,6.0
5598-15-2,Chlorpyrifos oxon,DTXSID1038666,5598-15-2,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/5598-15-2/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,21804.0,C9H11Cl3NO4P,334.5,CCOP(=O)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,CCOP(=O)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl,3.5,57.7,300.0,0.0,0.0,5.0,6.0
56-24-6,Trimethyltin hydroxide,DTXSID9032240,56-24-6,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/56-24-6/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,11217597.0,C3H10OSn,180.82,C[Sn+](C)C.[OH-],C[Sn+](C)C.[OH-],,1.0,8.0,0.0,1.0,1.0,0.0
56-35-9,Bis(tributyltin)oxide,DTXSID9020166,56-35-9,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/56-35-9/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,16682746.0,C24H54OSn2,596.1,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,CCCC[Sn](CCCC)(CCCC)O[Sn](CCCC)(CCCC)CCCC,,9.2,246.0,0.0,0.0,1.0,20.0
56-53-1,Diethylstilbestrol,DTXSID3020465,56-53-1,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/56-53-1/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,448537.0,C18H20O2,268.3,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,5.1,40.5,286.0,0.0,2.0,2.0,4.0
56-72-4,Coumaphos,DTXSID2020347,56-72-4,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/56-72-4/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,2871.0,C14H16ClO5PS,362.8,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(=C(C(=O)O2)Cl)C,4.5,86.1,499.0,0.0,0.0,6.0,6.0
56296-78-7,Fluoxetine hydrochloride,DTXSID7020635,56296-78-7,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/56296-78-7/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,62857.0,C17H19ClF3NO,345.8,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F.Cl,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F.Cl,,21.3,308.0,0.0,2.0,5.0,6.0
57-30-7,Phenobarbital sodium,DTXSID0021123,57-30-7,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/57-30-7/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,23674889.0,C12H11N2NaO3,254.22,CCC1(C(=O)NC(=NC1=O)[O-])C2=CC=CC=C2.[Na+],CCC1(C(=O)NC(=NC1=O)[O-])C2=CC=CC=C2.[Na+],,81.6,378.0,0.0,1.0,3.0,2.0
57-41-0,"5,5-Diphenylhydantoin",DTXSID8020541,57-41-0,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/57-41-0/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,1775.0,C15H12N2O2,252.27,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,2.5,58.2,350.0,0.0,2.0,2.0,2.0
58-08-2,Caffeine,DTXSID0020232,58-08-2,resolved,"https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/58-08-2/property/CanonicalSMILES,IsomericSMILES,MolecularFormula,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,Complexity,Charge/JSON",,2519.0,C8H10N4O2,194.19,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-0.1,58.4,293.0,0.0,0.0,3.0,0.0
