chemical_code,public__growth_proliferation__surrogate_probability,public__progenitor_organization__surrogate_probability,public__synaptic_integrity__surrogate_probability,public__electrophysiology__surrogate_probability,public__growth_proliferation__measured_available,public__progenitor_organization__measured_available,public__synaptic_integrity__measured_available,public__electrophysiology__measured_available
C4,0.2647271822776323,0.3379684039940212,0.22065447020091292,0.39613092496772495,0,0,0,0
C5,0.20162768745531706,0.216527832535186,0.23118403049364777,0.2842848147247489,0,0,0,0
C6,0.3350169165406896,0.30279352230125844,0.4324944836888001,0.29089533827620945,0,0,0,0
C7,0.22721503569143092,0.27597558100206854,0.24006109298273567,0.3268713776218744,0,0,0,0
C8,0.18287713265059682,0.33564783249674446,0.24747881173868258,0.46049598720302776,0,0,0,0
C9,0.4376924272273947,0.4881273942895625,0.42070364641684943,0.4277784288779285,0,0,0,0
C10,0.5220739893358557,0.553188257402645,0.4985719365620593,0.6397878207527747,0,0,0,0
C11,0.19674482854998035,0.3194815437849439,0.1412919782356439,0.5728829447353623,0,0,0,0
C12,0.22189691538943404,0.27689483296337897,0.24476678306632096,0.32741648190893136,0,0,0,0
C13,0.4042721125168021,0.2598668698582794,0.25015350771124634,0.5775382009978032,0,0,0,0
C14,0.4376924272273947,0.4881273942895625,0.42070364641684943,0.4277784288779285,0,0,0,0
C15,0.4618092062956805,0.5595308420736976,0.4537272999684812,0.4297362174893976,0,0,0,0
C16,0.18512634292723207,0.3714208629782531,0.1627638920051873,0.3824604688363777,0,0,0,0
C17,0.4756702808066964,0.44607025004141315,0.40266744700082857,0.4907331402177039,0,0,0,0
C18,0.4169044800954528,0.44469052164668915,0.6109424365092236,0.4437368243563947,0,0,0,0
C19,0.3220265154123471,0.330453342606845,0.663783396794331,0.3676839303104222,0,0,0,0
C20,0.37878670888313226,0.41907208761069076,0.43720247277160185,0.34618602847456725,0,0,0,0
C21,0.2934416188463715,0.36249017332078937,0.5029983130545918,0.3190686806345952,0,0,0,0
C22,0.4414281322001496,0.47553503467565317,0.4760395609320529,0.3645768253376451,0,0,0,0
C23,0.7315061366405883,0.8144827396910367,0.8070422286535711,0.9177436766859881,0,0,0,0
C24,0.744066594713776,0.8226839052899524,0.7909882829809132,0.8921773314164214,0,0,0,0
C25,0.5785436002490938,0.683039729847483,0.573890711988872,0.6151470054427984,0,0,0,0
C26,0.4376924272273947,0.4881273942895625,0.42070364641684943,0.4277784288779285,0,0,0,0
B6,0.32864043772731927,0.30192345106755686,0.420934371436632,0.282750982329726,0,0,0,0
B7,0.32864043772731927,0.30192345106755686,0.420934371436632,0.282750982329726,0,0,0,0
B8,0.4376924272273947,0.4881273942895625,0.42070364641684943,0.4277784288779285,0,0,0,0
B9,0.651807001470318,0.7384358811822803,0.7248551609056403,0.8202070304615023,0,0,0,0
B10,0.2145234415725057,0.32562621758971483,0.20795101359955132,0.45582465896923313,0,0,0,0
