chnm,casn,dsstox_substance_id,growth_proliferation__active,growth_proliferation__endpoint_fraction_active,progenitor_organization__active,progenitor_organization__endpoint_fraction_active,synaptic_integrity__active,synaptic_integrity__endpoint_fraction_active,electrophysiology__active,electrophysiology__endpoint_fraction_active
Chlorpromazine hydrochloride,69-09-0,DTXSID7024827,1,0.6666666666666666,1,1.0,1,0.625,1,0.5
Hexachlorophene,70-30-4,DTXSID6020690,1,0.3333333333333333,1,0.75,1,0.875,1,0.5294117647058824
Phosmet,732-11-6,DTXSID5024261,1,0.3333333333333333,1,0.5,0,0.0,1,0.5
Bensulide,741-58-2,DTXSID9032329,1,0.3333333333333333,1,1.0,1,0.5,1,0.5294117647058824
Heptachlor,76-44-8,DTXSID3020679,1,0.6666666666666666,1,1.0,1,0.875,1,0.47058823529411764
Sodium fluoride,7681-49-4,DTXSID2020630,0,0.0,0,0.0,0,0.0,0,0.0
Manganese dichloride,7773-01-5,DTXSID9040681,0,0.0,0,0.0,1,0.5,0,0.0
Sodium arsenite,7784-46-5,DTXSID5020104,1,0.6666666666666666,1,1.0,1,0.625,1,0.5
Cadmium(II) chloride hydrate (2:5),7790-78-5,DTXSID4040183,0,0.0,1,0.75,1,0.625,1,0.5
Tribufos,78-48-8,DTXSID1024174,1,0.6666666666666666,1,0.5,1,0.75,1,0.47058823529411764
Acrylamide,79-06-1,DTXSID5020027,0,0.0,1,0.125,0,0.0,0,0.0
Bisphenol A,80-05-7,DTXSID7020182,1,0.3333333333333333,1,0.5,1,0.375,1,0.4117647058823529
Sodium saccharin hydrate,82385-42-0,DTXSID7021992,0,0.0,0,0.0,0,0.0,0,0.0
Fluconazole,86386-73-4,DTXSID3020627,0,0.0,0,0.0,0,0.0,0,0.0
Tebupirimfos,96182-53-5,DTXSID1032482,0,0.0,0,0.0,0,0.0,1,0.5
Diazoxon,962-58-3,DTXSID5037523,0,0.0,0,0.0,0,0.0,0,0.0
Fosthiazate,98886-44-3,DTXSID0034930,0,0.0,0,0.0,0,0.0,0,0.0
